,id,network,size,query,evidence,method,prune,heuristic,result,time
53,0fd4f950-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['i', 'j']",{'a': True},mpe,False,fill,"{'p': {0: 0.001171875, 1: 0.001171875}, 'a': {0: True, 1: True}, 'e': {0: True, 1: True}, 'f': {0: True, 1: True}, 'g': {0: True, 1: True}, 'b': {0: True, 1: True}, 'c': {0: True, 1: True}, 'h': {0: True, 1: True}, 'd': {0: True, 1: True}, 'i': {0: True, 1: True}, 'j': {0: False, 1: True}}",0.09688538999762386
54,0fd4f951-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['i', 'j']",{'a': True},mpe,True,degree,"{'p': {0: 0.6}, 'a': {0: True}}",0.005946124001638964
55,10d7bafc-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['i', 'j']",{'a': True},mpe,False,degree,"{'p': {0: 0.001171875}, 'e': {0: True}, 'd': {0: True}, 'g': {0: True}, 'f': {0: True}, 'b': {0: True}, 'j': {0: True}, 'c': {0: True}, 'i': {0: True}, 'h': {0: True}, 'a': {0: True}}",0.11223933100700378
56,10d7bafd-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['j'],"{'e': True, 'i': True, 'a': True, 'f': True}",map,True,fill,"{'p': {0: 0.0375, 1: 0.0375}, 'j': {0: False, 1: True}}",0.17814992199419066
57,10d7bafe-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['j'],"{'e': True, 'i': True, 'a': True, 'f': True}",map,False,fill,"{'p': {0: 0.0375, 1: 0.0375}, 'j': {0: False, 1: True}}",0.2708975410205312
58,10d7baff-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['j'],"{'e': True, 'i': True, 'a': True, 'f': True}",map,True,degree,"{'p': {0: 0.0375, 1: 0.0375}, 'j': {0: False, 1: True}}",0.18128893699031323
59,10d7bb00-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['j'],"{'e': True, 'i': True, 'a': True, 'f': True}",map,False,degree,"{'p': {0: 0.0375, 1: 0.0375}, 'j': {0: False, 1: True}}",0.2701067710004281
60,10d7bb01-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['j'],"{'e': True, 'i': True, 'a': True, 'f': True}",mpe,True,fill,"{'p': {0: 0.01875}, 'a': {0: True}, 'e': {0: True}, 'c': {0: True}, 'f': {0: True}, 'b': {0: True}, 'i': {0: True}}",0.06097160198260099
61,10d7bb02-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['j'],"{'e': True, 'i': True, 'a': True, 'f': True}",mpe,False,fill,"{'p': {0: 0.001171875, 1: 0.001171875}, 'a': {0: True, 1: True}, 'e': {0: True, 1: True}, 'f': {0: True, 1: True}, 'g': {0: True, 1: True}, 'b': {0: True, 1: True}, 'c': {0: True, 1: True}, 'h': {0: True, 1: True}, 'd': {0: True, 1: True}, 'i': {0: True, 1: True}, 'j': {0: False, 1: True}}",0.1048397010017652
62,10d7bb03-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['j'],"{'e': True, 'i': True, 'a': True, 'f': True}",mpe,True,degree,"{'p': {0: 0.01875}, 'e': {0: True}, 'c': {0: True}, 'i': {0: True}, 'f': {0: True}, 'b': {0: True}, 'a': {0: True}}",0.07085660001030192
63,10d7bb04-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['j'],"{'e': True, 'i': True, 'a': True, 'f': True}",mpe,False,degree,"{'p': {0: 0.001171875}, 'e': {0: True}, 'd': {0: True}, 'g': {0: True}, 'f': {0: True}, 'b': {0: True}, 'j': {0: True}, 'c': {0: True}, 'i': {0: True}, 'h': {0: True}, 'a': {0: True}}",0.12258943598135374
